il,kurum_adi,kurum_tipi,kapasitesi,adres,telefon
Adana,Adana E Tipi Kapalı Ceza İnfaz Kurumu,E Tipi Kapalı,1200,Sarıçam/ADANA,0322 346 10 00
Adana,Adana Açık Ceza İnfaz Kurumu,Açık,400,Sarıçam/ADANA,0322 346 15 00
Ankara,Ankara 1 Nolu F Tipi Yüksek Güvenlikli Kapalı Ceza İnfaz Kurumu,F Tipi Yüksek Güvenlikli,920,Sincan/ANKARA,0312 278 50 00
Ankara,Ankara 2 Nolu F Tipi Yüksek Güvenlikli Kapalı Ceza İnfaz Kurumu,F Tipi Yüksek Güvenlikli,1152,Sincan/ANKARA,0312 278 60 00
Ankara,Ankara E Tipi Kapalı Ceza İnfaz Kurumu,E Tipi Kapalı,2400,Sincan/ANKARA,0312 278 70 00
Ankara,Ankara Açık Ceza İnfaz Kurumu,Açık,800,Sincan/ANKARA,0312 278 80 00
Ankara,Ankara Kadın Kapalı Ceza İnfaz Kurumu,Kadın Kapalı,600,Sincan/ANKARA,0312 278 90 00
Antalya,Antalya E Tipi Kapalı Ceza İnfaz Kurumu,E Tipi Kapalı,1800,Döşemealtı/ANTALYA,0242 421 30 00
Antalya,Antalya Açık Ceza İnfaz Kurumu,Açık,500,Döşemealtı/ANTALYA,0242 421 35 00
Bursa,Bursa E Tipi Kapalı Ceza İnfaz Kurumu,E Tipi Kapalı,1600,Kestel/BURSA,0224 372 40 00
Bursa,Bursa Açık Ceza İnfaz Kurumu,Açık,600,Kestel/BURSA,0224 372 45 00
Diyarbakır,Diyarbakır D Tipi Kapalı Ceza İnfaz Kurumu,D Tipi Kapalı,1200,Kayapınar/DİYARBAKIR,0412 252 10 00
Diyarbakır,Diyarbakır E Tipi Kapalı Ceza İnfaz Kurumu,E Tipi Kapalı,800,Kayapınar/DİYARBAKIR,0412 252 15 00
Eskişehir,Eskişehir Açık Ceza İnfaz Kurumu,Açık,400,Tepebaşı/ESKİŞEHİR,0222 234 50 00
Gaziantep,Gaziantep E Tipi Kapalı Ceza İnfaz Kurumu,E Tipi Kapalı,1400,Şahinbey/GAZİANTEP,0342 215 60 00
İstanbul,Silivri 1 Nolu F Tipi Yüksek Güvenlikli Kapalı Ceza İnfaz Kurumu,F Tipi Yüksek Güvenlikli,1280,Silivri/İSTANBUL,0212 748 70 00
İstanbul,Silivri 2 Nolu F Tipi Yüksek Güvenlikli Kapalı Ceza İnfaz Kurumu,F Tipi Yüksek Güvenlikli,1280,Silivri/İSTANBUL,0212 748 75 00
İstanbul,Silivri 3 Nolu L Tipi Kapalı Ceza İnfaz Kurumu,L Tipi Kapalı,2400,Silivri/İSTANBUL,0212 748 80 00
İstanbul,Silivri 4 Nolu L Tipi Kapalı Ceza İnfaz Kurumu,L Tipi Kapalı,2400,Silivri/İSTANBUL,0212 748 85 00
İstanbul,Silivri 5 Nolu L Tipi Kapalı Ceza İnfaz Kurumu,L Tipi Kapalı,2400,Silivri/İSTANBUL,0212 748 90 00
İstanbul,Silivri 6 Nolu L Tipi Kapalı Ceza İnfaz Kurumu,L Tipi Kapalı,2400,Silivri/İSTANBUL,0212 748 95 00
İstanbul,Silivri 7 Nolu L Tipi Kapalı Ceza İnfaz Kurumu,L Tipi Kapalı,2400,Silivri/İSTANBUL,0212 749 00 00
İstanbul,Silivri 8 Nolu L Tipi Kapalı Ceza İnfaz Kurumu,L Tipi Kapalı,2400,Silivri/İSTANBUL,0212 749 05 00
İstanbul,Silivri 9 Nolu L Tipi Kapalı Ceza İnfaz Kurumu,L Tipi Kapalı,2400,Silivri/İSTANBUL,0212 749 10 00
İstanbul,Silivri Kadın Kapalı Ceza İnfaz Kurumu,Kadın Kapalı,800,Silivri/İSTANBUL,0212 749 15 00
İstanbul,Maltepe L Tipi Kapalı Ceza İnfaz Kurumu,L Tipi Kapalı,1200,Maltepe/İSTANBUL,0216 441 20 00
İzmir,İzmir Aliağa E Tipi Kapalı Ceza İnfaz Kurumu,E Tipi Kapalı,1600,Aliağa/İZMİR,0232 616 30 00
İzmir,İzmir Kiraz Kadın Kapalı Ceza İnfaz Kurumu,Kadın Kapalı,500,Kiraz/İZMİR,0232 743 40 00
Konya,Konya E Tipi Kapalı Ceza İnfaz Kurumu,E Tipi Kapalı,1800,Selçuklu/KONYA,0332 245 50 00
Samsun,Samsun E Tipi Kapalı Ceza İnfaz Kurumu,E Tipi Kapalı,1200,Bafra/SAMSUN,0362 542 60 00
Trabzon,Trabzon E Tipi Kapalı Ceza İnfaz Kurumu,E Tipi Kapalı,800,Arsin/TRABZON,0462 751 70 00
Afyonkarahisar,Bolvadin Denetimli Serbestlik Müdürlüğü,0272 612 8577 -,0507 820 0103,dsm.bolvadin@adalet.gov.tr,KONAK MAH. İSTASYON CAD. NO:125 BOLVADİN/AFYONKARAHİSAR,0272 612 8531,https://bolvadin.adalet.gov.tr/
Afyonkarahisar,Bolvadin T Tipi Kapalı Ceza İnfaz Kurumu,0272 502 5211 -,,bolvadin.ttkcik@adalet.gov.tr,Şıhlar Mah. 9. Çiftlik Küme Evleri No:17 Bolvadin / AFYONKARAHİSAR,0272 502 5212,https://bolvadintcik.adalet.gov.tr/
Afyonkarahisar,Dinar Açık Ceza İnfaz Kurumu (T Tipi),0272 365 4041 -,0535 107 1291,dinar.ttkacik@adalet.gov.tr,"Dikici Köyü, Mehmet Tuncay Mahallesi, Mehmet Tuncay Küme evler No:52/14 Dinar/AFYONKARAHİSAR",0272 365 40 55,https://dinartcik.adalet.gov.tr/
Afyonkarahisar,Dinar Denetimli Serbestlik Müdürlüğü,0272 353 0032 - 0507 820 0083,,dsm.dinar@adalet.gov.tr,Camikebir Mah. Hal Cad. Belediye Sarayı Kat : 3 Dinar/AFYONKARAHİSAR,0272 353 0032,https://dinar.adalet.gov.tr/dntsrbst/dsym.html
Afyonkarahisar,Dinar T Tipi Kapalı Ceza İnfaz Kurumu,0272 365 4100 - 0272 353 6145,0507 760 7211,dinar.ttkacik@adalet.gov.tr,"Dikici Köyü, Mehmet Tuncay Mahallesi, Mehmet Tuncay Küme evler No:52/14 Dinar/AFYONKARAHİSAR",0272 365 4055,https://dinartcik.adalet.gov.tr/
Afyonkarahisar,Emirdağ Açık Ceza İnfaz Kurumu,0272 442 5103 -,,abbemirdag.acik@adalet.gov.tr,Menderes Mahallesi 1006 Sokak No:2 Emirdağ/AFYONKARAHİSAR,0272 442 5104,https://emirdagacik.adalet.gov.tr
Afyonkarahisar,Sandıklı Açık Ceza İnfaz Kurumu,0272 512 5091 -,,,İstanyon Mahallesi Uşak Caddesi No:173 Sandıklı/AFYON,0272 512 5081,
Ağrı,Ağrı Kapalı Ceza İnfaz Kurumu,0472 215 5001 -,0539 550 1889,agri.ktcik@adalet.gov.tr,Abide Mah. Yaşar Kemal Cad. 634 Sk. 12.Mekanize Piyade Tugay Komutanlığı Yanı. Merkez/AGRI,0472 215 5003,https://agricik.adalet.gov.tr/
Ağrı,Doğubayazıt Açık Ceza İnfaz Kurumu (T Tipi),0472 312 3004 -,0506 600 6320,,"Sarıgül Mahallesi Çevreyolu bulvarı No:15 Doğubayazıt / AĞRI",0472 312 3005,https://dogubayazittcik.adalet.gov.tr/
Ağrı,Doğubayazıt Denetimli Serbestlik Müdürlüğü,0472 312 0921 - 0535 107 1292,,dsm.dogubeyazit@adalet.gov.tr,Doğubayazıt Adliye Sarayı Zemin Kat Doğubayazıt/AĞRI,0472 312 0921,
Ağrı,Doğubayazıt T Tipi Kapalı Ceza İnfaz Kurumu,0472 312 6005 -,0506 600 6320,dogubeyazit.ttacik@adalet.gov.tr,"Sarıgül Mahallesi Çevreyolu bulvarı No:15 Doğubayazıt / AĞRI",0472 312 1488,https://dogubayazittcik.adalet.gov.tr/
Ağrı,Patnos Açık Ceza İnfaz Kurumu,0472 623 2300 - 0472 623 2302,0533 157 7482,abbpatnos.acik@adalet.gov.tr,Malazgirt yolu üzeri Doğansu köyü mevkii Patnos/AĞRI,0472 623 2303,https://patnosacik.adalet.gov.tr
Ağrı,Patnos Denetimli Serbestlik Müdürlüğü,0472 616 10 18 -,0538 097 12 08,dsm.patnos@adalet.gov.tr,Atatürk Mahallesi Yavuz Sultan Selim Caddesi No: 119 Giriş Patnos/AĞRI,0472 616 10 17,
Ağrı,Patnos L Tipi Kapalı Ceza İnfaz Kurumu,0472 623 2001 - 0472 623 2006,0538 574 9820,patnos.ltkcik@adalet.gov.tr,Malazgirt yolu üzeri Doğansu köyü mevkii Patnos/AĞRI,0472 623 2007,https://patnoslcik.adalet.gov.tr
Amasya,Amasya Denetimli Serbestlik Müdürlüğü,0358 212 4705 - 0507 820 0005,,dsm.amasya@adalet.gov.tr,55 Evler Mah.Mehmet Varinli Cad. Yeni Adalet Sarayı Kat: Z 2 Merkez / AMASYA,0358 212 8782,https://amasya.adalet.gov.tr/dsm/index.html
Amasya,Amasya E Tipi Kapalı Ceza İnfaz Kurumu,0358 242 0364 - 0358 242 07 25,0506 600 6105,amasya.etcik@adalet.gov.tr,Helvacı Mah. Çağlayan Cad. No:53 Merkez / AMASYA,0358 242 0585,https://amasyaecik.adalet.gov.tr/
