İl,İlçe,Kurum Adı,Vergi No,Vergi Dairesi,Hesap Türü,Banka Adı,IBAN
Adana,Adana,"Adana 3. Genel İcra Dairesi (3,5,6,7,8,9. İcra Daireleri)",70125533,YÜREĞİR VERGİ DAİRESİ,Harç,T. Vakıflar Bankası T.A.O.,TR880001500158007299259707
Adana,Adana,"Adana 3. Genel İcra Dairesi (3,5,6,7,8,9. İcra Daireleri)",70125533,YÜREĞİR VERGİ DAİRESİ,Emanet,T. Vakıflar Bankası T.A.O.,TR380001500158007290492874
Adana,Adana,"Adana 3. Genel İcra Dairesi (3,5,6,7,8,9. İcra Daireleri)",70125533,YÜREĞİR VERGİ DAİRESİ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR740001500158007299544557
Adana,Adana,"Adana 2. Genel İcra Dairesi (4,10,11,12,13,14. İcra Daireleri)",6430356740,YÜREĞİR VERGİ DAİRESİ,Harç,T. Vakıflar Bankası T.A.O.,TR260001500158007299281678
Adana,Adana,"Adana 2. Genel İcra Dairesi (4,10,11,12,13,14. İcra Daireleri)",6430356740,YÜREĞİR VERGİ DAİRESİ,Emanet,T. Vakıflar Bankası T.A.O.,TR840001500158007290493792
Adana,Adana,"Adana 2. Genel İcra Dairesi (4,10,11,12,13,14. İcra Daireleri)",6430356740,YÜREĞİR VERGİ DAİRESİ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR910001500158007299518740
Adana,Adana,Adana Gayrimenkul Satış İcra Dairesi,71302867,YÜREĞİR VERGİ DAİRESİ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR960001500158007312991077
Adana,Adana,Adana Gayrimenkul Satış İcra Dairesi,71302867,YÜREĞİR VERGİ DAİRESİ,Harç,T. Vakıflar Bankası T.A.O.,TR880001500158007312990930
Adana,Adana,Adana Gayrimenkul Satış İcra Dairesi,71302867,YÜREĞİR VERGİ DAİRESİ,Emanet,T. Vakıflar Bankası T.A.O.,TR830001500158007312990826
Adana,Adana,"Adana 1. Genel İcra Dairesi (1,2. İcra Daireleri)",71302875,YÜREĞİR VERGİ DAİRESİ,Cezaevi,T. Vakıflar Bankası T.A.O.,TR710001500158007312990751
Adana,Adana,"Adana 1. Genel İcra Dairesi (1,2. İcra Daireleri)",71302875,YÜREĞİR VERGİ DAİRESİ,Emanet,T. Vakıflar Bankası T.A.O.,TR270001500158007312990282
Adana,Adana,"Adana 1. Genel İcra Dairesi (1,2. İcra Daireleri)",71302875,YÜREĞİR VERGİ DAİRESİ,Harç,T. Vakıflar Bankası T.A.O.,TR370001500158007312990587
