liman_turk_adi;liman_turk_kodu
ALANYA DEMÝR MEVKÝÝ;TRALA-001
ALANYA ÝSKELESÝ;TRALA-002
AYTEMÝZ AKARYAKIT ALANYA DOLUM TESÝSÝ;TRALA-003
GAZÝPAÞA BALIK YÜKLEME DEMÝRÝ;TRALA-004
ALANYA MARÝNA;TRALA-005
ALPET TÜRKÝYE A.Þ. ALÝAÐA TERMÝNALÝ;TRALI-001
APM TERMÝNALS KONTEYNER TERMÝNALÝ;TRALI-002
BATILÝMAN LÝMAN ÝÞLETMESÝ;TRALI-003
EGE ÇELÝK LÝMANI;TRALI-004
EGE GAZ A.Þ. PLATFORM-ÝSKELESÝ;TRALI-005
EGE GÜBRE LÝMAN TESÝSÝ;TRALI-006
ETKÝ LÝMANI;TRALI-007
HABAÞ NEMRUT LÝMANI;TRALI-008
ÝDÇ NEMRUT LÝMANI;TRALI-009
NEMPORT ÝSKELESÝ;TRALI-010
NEMRUT PLATFORMU;TRALI-011
PETKÝM LÝMANI;TRALI-012
SOCAR TURKEY AKARYAKIT DEPOLAMA ALÝAÐA ÞUBESÝ;TRALI-013
GÜZEL ENERJÝ AKARYAKIT A.Þ. ALÝAÐA TESÝSÝ;TRALI-014
TÜPRAÞ-ALÝAÐA TERMÝNALÝ;TRALI-015
ALÝAÐA GEMÝ SÖKÜM BÖLGESÝ;TRALI-016
NEMRUT KÖRFEZÝ DEMÝRLEME SAHASI;TRALI-017
STAR RAFÝNERÝ LÝMAN TESÝSÝ;TRALI-018
1 NOLU DEMÝR (AKARYAKIT, ASKERÝ TANKER);TRALI-019
2 NOLU DEMÝR SAHASI;TRALI-020
3 NOLU DEMÝR SAHASI (TEHLÝKELÝ);TRALI-021
4 NOLU DEMÝR SAHASI;TRALI-022
5 NOLU DEMÝR SAHASI;TRALI-023
6 NOLU DEMÝR SAHASI (TEHLÝKELÝ);TRALI-024
GEMÝ SÖKÜM DEMÝR SAHASI;TRALI-025
8 NOLU DEMÝR SAHASI (TEHLÝKELÝ);TRALI-026
KURUCAÞÝLE BALIKÇI BARINAÐI;TRAMA-001
AKKONAK ÝSKELESÝ;TRAMA-002
AMASRA LÝMANI;TRAMA-003
DEMÝRLEME SAHASI 1;TRAMA-004
DEMÝRLEME SAHASI 2;TRAMA-005
AKÇANSA AMBARLI LÝMANI;TRAMB-001
AMBARLI DEPOLAMA VE DOLUM TERMÝNALÝ;TRAMB-002
AMBARLI LÝMAN TESÝSLERÝ MARDAÞ ÝSKELESÝ;TRAMB-003
AYGAZ A.Þ. AMBARLI TERMÝNALÝ;TRAMB-004
KUMPORT LÝMANI;TRAMB-005
KURUYÜK DEMÝR ALANI;TRAMB-006
MARPORT KONTEYNER TERMÝNALÝ;TRAMB-007
HARAMÝDERE TERMÝNALÝ;TRAMB-008
TEHLÝKELÝ YÜK DEMÝR ALANI;TRAMB-009
WEST ÝSTANBUL MARÝNA;TRAMB-010
AVCILAR ÝDO TERMÝNALÝ;TRAMB-011
MÝMARSÝNAN BALIKÇI BARINAÐI ÝSKELESÝ;TRAMB-012
BÜYÜKÇEKMECE BALIKÇI BARINAÐI;TRAMB-013
GÜZELCE BALIKÇI BARINAÐI;TRAMB-014
AVCILAR BALIKÇI BARINAÐI;TRAMB-015
GÜRPINAR BALIKÇI BARINAÐI;TRAMB-016
KIYI ÝSTANBUL MARÝNA;TRAMB-017
DEMÝRLEME SAHASI;TRANA-001
FERÝBOT VE DENÝZ UÇAÐI ÝSKELESÝ;TRANA-002
AKDENÝZ AKARYAKIT DEPOLAMA NAKLÝYAT VE TÝC. A.Þ.;TRAYT-001
ANTALYA SERBEST BÖLGESÝ ASBAÞ LÝMANI 11 NOLU RIHTIM (ASBAÞ RIHTIM;TRAYT-002
ÇEKÝSAN ANTALYA TERMÝNALÝ;TRAYT-003
KALEÝÇÝ YAT LÝMANI;TRAYT-004
PETROL OFÝSÝ A.Þ. ANTALYA TERMÝNALÝ;TRAYT-005
PORT AKDENÝZ ANTALYA LÝMANI;TRAYT-006
SHELLTURCAS ANTALYA TERMÝNALÝ;TRAYT-007
NATO DOLUM TESÝSÝ;TRAYT-008
ANTALYA SERBEST BÖLGESÝ ASBAÞ LÝMANI;TRAYT-009
1 NOLU DEMÝRLEME SAHASI;TRAYT-010
2 NOLU DEMÝRLEME SAHASI;TRAYT-011
