il,ilce,mahalle,posta_kodu
Adana,Aladağ,Akören Mahallesi,01722
Adana,Aladağ,Akpınar Mahallesi,01720
Adana,Aladağ,Başpınar Mahallesi,01720
Adana,Aladağ,Boztahta Mahallesi,01722
Adana,Aladağ,Büyüksofulu Mahallesi,01722
Adana,Aladağ,Ceritler Mahallesi,01722
Adana,Aladağ,Dailer Mahallesi,01722
Adana,Aladağ,Darılık Mahallesi,01722
Adana,Aladağ,Dölekli Mahallesi,01722
Adana,Aladağ,Ebrişim Mahallesi,01722
Adana,Aladağ,Eğner Mahallesi,01722
Adana,Aladağ,Gerdibi Mahallesi,01722
Adana,Aladağ,Gireğiyeniköy Mahallesi,01722
Adana,Aladağ,Gökçeköy Mahallesi,01722
Adana,Aladağ,Kabasakal Mahallesi,01722
Adana,Aladağ,Karahan Mahallesi,01722
Adana,Aladağ,Kıcak Mahallesi,01722
Adana,Aladağ,Kışlak Mahallesi,01722
Adana,Aladağ,Kızıldam Mahallesi,01722
Adana,Aladağ,Kökez Mahallesi,01722
Adana,Aladağ,Köprücük Mahallesi,01722
Adana,Aladağ,Küp Mahallesi,01722
Adana,Aladağ,Madenli Mahallesi,01722
Adana,Aladağ,Mansurlu Mahallesi,01720
Adana,Aladağ,Mazılık Mahallesi,01722
Adana,Aladağ,Posyağbasan Mahallesi,01722
Adana,Aladağ,Sinanpaşa Mahallesi,01720
Adana,Aladağ,Topallı Mahallesi,01722
Adana,Aladağ,Uzunkuyu Mahallesi,01722
Adana,Aladağ,Yetimli Mahallesi,01722
Adana,Aladağ,Yüksekören Mahallesi,01722
Adana,Ceyhan,Adapınar Mahallesi,01922
Adana,Ceyhan,Adatepe Mahallesi,01922
Adana,Ceyhan,Ağaçlı Mahallesi,01922
Adana,Ceyhan,Ağaçpınar Mahallesi,01922
Adana,Ceyhan,Akdam Mahallesi,01922
Adana,Ceyhan,Altıgöz Mahallesi,01922
Adana,Ceyhan,Altıkara Mahallesi,01922
Adana,Ceyhan,Altıocak Mahallesi,01920
Adana,Ceyhan,Aydemiroğlu Mahallesi,01920
Adana,Ceyhan,Aydınlar Mahallesi,01922
Adana,Ceyhan,Azizli Mahallesi,01922
Adana,Ceyhan,Başören Mahallesi,01922
Adana,Ceyhan,Belediye Evleri Mahallesi,01920
Adana,Ceyhan,Birkent Mahallesi,01922
Adana,Ceyhan,Bota Mahallesi,01920
Adana,Ceyhan,Burhaniye Mahallesi,01960
Adana,Ceyhan,Burhanlı Mahallesi,01922
Adana,Ceyhan,Büyükburhaniye Mahallesi,01922
Adana,Ceyhan,Büyükkırım Mahallesi,01960
Adana,Ceyhan,Büyükmangıt Mahallesi,01922
Adana,Ceyhan,Camuzağılı Mahallesi,01922
Adana,Ceyhan,Ceyhanbekirli Mahallesi,01922
Adana,Ceyhan,Civantayak Mahallesi,01920
Adana,Ceyhan,Cumhuriyet Mahallesi,01950
Adana,Ceyhan,Çakaldere Mahallesi,01922
Adana,Ceyhan,Çataklı Mahallesi,01922
Adana,Ceyhan,Çatalhüyük Mahallesi,01922
Adana,Ceyhan,Çevretepe Mahallesi,01922
Adana,Ceyhan,Çiçekli Mahallesi,01922
Adana,Ceyhan,Çiftlikler Mahallesi,01922
Adana,Ceyhan,Çokçapınar Mahallesi,01922
Adana,Ceyhan,Dağıstan Mahallesi,01922
Adana,Ceyhan,Değirmendere Mahallesi,01922
Adana,Ceyhan,Değirmenli Mahallesi,01922
Adana,Ceyhan,Dikilitaş Mahallesi,01922
Adana,Ceyhan,Dokuztekne Mahallesi,01922
Adana,Ceyhan,Doruk Mahallesi,01922
Adana,Ceyhan,Durhasandede Mahallesi,01922
Adana,Ceyhan,Dutlupınar Mahallesi,01922
Adana,Ceyhan,Ekinyazı Mahallesi,01922
Adana,Ceyhan,Elmagölü Mahallesi,01922
Adana,Ceyhan,Emek Mahallesi,01930
Adana,Ceyhan,Erenler Mahallesi,01922
Adana,Ceyhan,Esentepe Mahallesi,01930
Adana,Ceyhan,Fatih Sultan Mehmet Mahallesi,01930
Adana,Ceyhan,Gazi Osman Paşa Mahallesi,01950
Adana,Ceyhan,Gümürdülü Mahallesi,01922
Adana,Ceyhan,Gündoğan Mahallesi,01922
Adana,Ceyhan,Günlüce Mahallesi,01922
Adana,Ceyhan,Günyazı Mahallesi,01922
Adana,Ceyhan,Hamdilli Mahallesi,01922
Adana,Ceyhan,Hamidiye Mahallesi,01922
Adana,Ceyhan,Hamitbey Mahallesi,01922
Adana,Ceyhan,Hamitbeybucağı Mahallesi,01922
Adana,Ceyhan,Hürriyet Mahallesi,01930
Adana,Ceyhan,Imran Mahallesi,01922
Adana,Ceyhan,Inceyer Mahallesi,01922
Adana,Ceyhan,Inönü Mahallesi,01930
Adana,Ceyhan,Irmaklı Mahallesi,01922
Adana,Ceyhan,Isalı Mahallesi,01922
