sube_adi;sube_il_kodu;sube_kodu;
ADANA;001;004600002001;
ADANA TICARI;001;004600833001;
ATATÜRK CADDESİ/ADANA;001;004600313001;
BARAJYOLU/ADANA;001;004600626001;
BARKAL ŞUBESİ;001;004600612001;
CEMALPAŞA/ADANA;001;004600260001;
CEYHAN/ADANA;001;004600003001;
GAZİPAŞA BULV./ADANA;001;004600624001;
HACISABANCI ORGANİZE SAN BÖLGESİ;001;004600648001;
KARŞIYAKA/ADANA;001;004600062001;
KOZAN/ADANA;001;004600317001;
KÜÇÜKSAAT/ADANA;001;004600104001;
MAHFESIĞMAZ ŞUBESI;001;004600886001;
SAYDAMCADDESİ/ADANA;001;004600334001;
TOROS;001;004600709001;
TÜRKMENBAŞI;001;004601392001;
YAVUZLAR/ADANA;001;004600351001;
YENİ ADANA;001;004600336001;
YENİ TOPTAN HALİ/ADANA;001;004600627001;
YÜZEVLER/ADANA;001;004600249001;
ADIYAMAN;002;004600499002;
AFYONKARAHİSAR ŞUBESİ;003;004600127003;
BOLVADİN/AFYON;003;004600246003;
DİNAR/AFYON;003;004600430003;
EMİRDAĞ/AFYON;003;004600319003;
SANDIKLI/AFYON;003;004600552003;
AĞRI;004;004600434004;
DOĞUBEYAZIT;004;004600704004;
AMASYA;005;004600154005;
MERZİFON;005;004600240005;
ANKARA;006;004600005006;
ANKARA OSB ŞUBESI;006;004601245006;
AŞAĞI AYRANCI/ANKARA;006;004600289006;
AYDINLIKEVLER/ANKARA;006;004600151006;
BAHÇELİEVLER/ANKARA;006;004600096006;
BAKANLIKLAR/ANKARA;006;004600153006;
BALGAT ANKARA;006;004600646006;
BAŞKENT KURUMSAL;006;004600832006;
BATIKENT;006;004600727006;
BEYPAZARI/ANKARA;006;004600482006;
BİLKENT;006;004600667006;
CEBECİ/ANKARA;006;004600017006;
ÇANKAYA TİCARİ;006;004600864006;
ÇANKAYA/ANKARA;006;004600305006;
ÇAYYOLU ŞUBESİ;006;004601215006;
ÇUBUK/ANKARA;006;004600312006;
ÇUKURAMBAR ŞUBESİ;006;004601187006;
DEMETEVLER/ANKARA;006;004600323006;
DİKMEN/ANKARA;006;004600345006;
ELMADAĞ/ANKARA;006;004600495006;
ELVANKENT ŞUBESİ;006;004601082006;
EMEK ŞUBESİ;006;004600172006;
ERYAMAN;006;004600661006;
ETİMESGUT/ANKARA;006;004600567006;
ETLİK/ANKARA;006;004600402006;
GAZİOSMANPAŞA/ANKARA;006;004600663006;
GIMAT ANKARA;006;004600631006;
GÖKSU ERYAMAN ŞUBESİ;006;004600335006;
GÖLBAŞI ŞUBESİ;006;004600730006;
İVEDİK;006;004600945006;
İVEDİK ORGANİZE SANAYİ ŞUBESİ;006;004601325006;
KALABA/ANKARA;006;004600544006;
KAVAKLIDERE/ANKARA;006;004600116006;
KAZAN ŞUBESİ;006;004601094006;
KAZIMKARABEKİR;006;004600311006;
KEÇİÖREN/ANKARA;006;004600375006;
KIZILAY/ANKARA;006;004600356006;
KÜÇÜKESAT/ANKARA;006;004600101006;
MALTEPE/ANKARA;006;004600112006;
MAMAK/ANKARA;006;004600179006;
MİTHATPAŞA/ANKARA;006;004600354006;
NECATİBEY CAD/ANKARA;006;004600241006;
NENEHATUN/ANKARA;006;004600283006;
ODTÜ;006;004600656006;
OSTİM SANAYİ SİTESİ/ANKAR;006;004600603006;
ÖZEL BANKACILIK ANKARA;006;004600752006;
POLATLI;006;004600014006;
SITELER/ANKARA;006;004600401006;
SİNCAN/ANKARA;006;004600139006;
ŞAŞMAZ ŞUBESI;006;004601190006;
TAİ;006;004600681006;
TANDOĞAN/ANKARA;006;004600395006;
ULUCANLAR  /ANKARA;006;004600030006;
ÜMİTKÖY ŞUBESİ;006;004600744006;
YAŞAMKENT ŞUBESİ;006;004601250006;
YENİMAHALLE/ANKARA;006;004600015006;
YENİŞEHİR/ANKARA;006;004600064006;
YILDIZ ŞUBESİ;006;004600658006;
2. SİTELER;006;004600696006;
AKDENİZ BULVARI/ANTALYA;007;004600609007;
AKDENİZ SANAYİ SİTESİ ŞUBESİ;007;004600577007;
ALANYA SANAYİ ŞUBESİ;007;004601278007;
ALANYA/ANTALYA;007;004600458007;
ANTALYA;007;004600056007;
ANTALYA TİCARİ;007;004600849007;
ASPENDOS BULVARI;007;004600844007;
BELEK;007;004600812007;
BÜLENT ECEVİT BULVARI ŞUBESİ;007;004601047007;
ÇALLI ŞUBESİ;007;004600947007;
DÖŞEMEALTI;007;004601401007;
IŞIKLAR ŞUBESİ;007;004600892007;
KALKAN ŞUBESİ;007;004600803007;
KEMER;007;004600653007;
KEPEZ ŞUBESİ;007;004601036007;
KONAKLI ŞUBESİ;007;004601330007;
KONYAALTI ŞUBESİ;007;004600804007;
KORKUTELİ/ANTALYA;007;004600520007;
KUMLUCA/ANTALYA;007;004600522007;
LARA;007;004600714007;
MAHMUTLAR ŞUBESİ;007;004601342007;
MANAVGAT SANAYI ŞUBESI;007;004601337007;
MANAVGAT/ANTALYA;007;004600333007;
MEVLANA KAVŞAĞI ŞUBESI;007;004601359007;
SERİK/ANTALYA;007;004600085007;
SIDE;007;004600926007;
SOĞUKSU ŞUBESİ;007;004601214007;
ŞARAMPOL/ANTALYA;007;004600331007;
UNCALI ŞUBESI;007;004601205007;
ARHAVİ/ARTVİN;008;004600528008;
ARTVİN;008;004600349008;
HOPA;008;004600252008;
AYDIN;009;004600097009;
ÇİNE/AYDIN;009;004600353009;
DAVUTLAR;009;004601266009;
DİDİM;009;004600954009;
EFELER ŞUBESİ AYDIN;009;004600560009;
KUŞADASI;009;004600237009;
NAZİLLİ;009;004600044009;
SÖKE;009;004600071009;
AKÇAY ŞUBESİ;010;004601180010;
ALTINOLUK ŞUBESİ;010;004600146010;
AYVALIK;010;004600308010;
BALIKESİR;010;004600073010;
BANDIRMA;010;004600078010;
BİGADİÇ/BALIKESİR;010;004600267010;
BURHANİYE;010;004600224010;
EDREMİT;010;004600047010;
ERDEK/BALIKESİR;010;004600610010;
GÖNEN/BALIKESİR;010;004600461010;
SANAYİ SİTESİ BALIKESİR;010;004600551010;
BİLECİK;011;004600529011;
BOZUYUK/BILECIK;011;004600556011;
BİNGÖL;012;004600536012;
BOLU;014;004600107014;
BUCAK/BURDUR;015;004600488015;
BURDUR;015;004600123015;
ALTIPARMAK/BURSA;016;004600217016;
